"","subject","lab","task","color","RT"
"1","A1","A","simple","green",358
"2","A1","A","simple","red",329
"3","A1","A","disjunctive","green",456
"4","A1","A","disjunctive","red",410
"5","A1","A","choice","green",487
"6","A1","A","choice","red",509
"7","A2","A","simple","green",365
"8","A2","A","simple","red",393
"9","A2","A","disjunctive","green",394
"10","A2","A","disjunctive","red",378
"11","A2","A","choice","green",406
"12","A2","A","choice","red",474
"13","A3","A","simple","green",337
"14","A3","A","simple","red",388
"15","A3","A","disjunctive","green",463
"16","A3","A","disjunctive","red",438
"17","A3","A","choice","green",450
"18","A3","A","choice","red",454
"19","A4","A","simple","green",329
"20","A4","A","simple","red",412
"21","A4","A","disjunctive","green",453
"22","A4","A","disjunctive","red",365
"23","A4","A","choice","green",526
"24","A4","A","choice","red",425
"25","A5","A","simple","green",314
"26","A5","A","simple","red",299
"27","A5","A","disjunctive","green",342
"28","A5","A","disjunctive","red",540
"29","A5","A","choice","green",412
"30","A5","A","choice","red",383
"31","A6","A","simple","green",345
"32","A6","A","simple","red",313
"33","A6","A","disjunctive","green",399
"34","A6","A","disjunctive","red",350
"35","A6","A","choice","green",389
"36","A6","A","choice","red",454
"37","A7","A","simple","green",297
"38","A7","A","simple","red",285
"39","A7","A","disjunctive","green",403
"40","A7","A","disjunctive","red",324
"41","A7","A","choice","green",409
"42","A7","A","choice","red",387
"43","A8","A","simple","green",315
"44","A8","A","simple","red",327
"45","A8","A","disjunctive","green",333
"46","A8","A","disjunctive","red",352
"47","A8","A","choice","green",434
"48","A8","A","choice","red",414
"49","A9","A","simple","green",309
"50","A9","A","simple","red",344
"51","A9","A","disjunctive","green",384
"52","A9","A","disjunctive","red",354
"53","A9","A","choice","green",443
"54","A9","A","choice","red",295
"55","B1","B","simple","green",319
"56","B1","B","simple","red",300
"57","B1","B","disjunctive","green",396
"58","B1","B","disjunctive","red",370
"59","B1","B","choice","green",315
"60","B1","B","choice","red",346
"61","B2","B","simple","green",336
"62","B2","B","simple","red",299
"63","B2","B","disjunctive","green",410
"64","B2","B","disjunctive","red",489
"65","B2","B","choice","green",286
"66","B2","B","choice","red",346
"67","B3","B","simple","green",338
"68","B3","B","simple","red",314
"69","B3","B","disjunctive","green",341
"70","B3","B","disjunctive","red",366
"71","B3","B","choice","green",399
"72","B3","B","choice","red",403
"73","B4","B","simple","green",311
"74","B4","B","simple","red",338
"75","B4","B","disjunctive","green",323
"76","B4","B","disjunctive","red",309
"77","B4","B","choice","green",470
"78","B4","B","choice","red",462
"79","B5","B","simple","green",360
"80","B5","B","simple","red",308
"81","B5","B","disjunctive","green",434
"82","B5","B","disjunctive","red",386
"83","B5","B","choice","green",395
"84","B5","B","choice","red",375
"85","B6","B","simple","green",314
"86","B6","B","simple","red",311
"87","B6","B","disjunctive","green",383
"88","B6","B","disjunctive","red",369
"89","B6","B","choice","green",372
"90","B6","B","choice","red",381
"91","B7","B","simple","green",356
"92","B7","B","simple","red",313
"93","B7","B","disjunctive","green",380
"94","B7","B","disjunctive","red",354
"95","B7","B","choice","green",339
"96","B7","B","choice","red",356
"97","B8","B","simple","green",325
"98","B8","B","simple","red",320
"99","B8","B","disjunctive","green",363
"100","B8","B","disjunctive","red",408
"101","B8","B","choice","green",352
"102","B8","B","choice","red",369
"103","B9","B","simple","green",305
"104","B9","B","simple","red",312
"105","B9","B","disjunctive","green",343
"106","B9","B","disjunctive","red",344
"107","B9","B","choice","green",377
"108","B9","B","choice","red",373
